"PRX",02/07/2017,1,"Princess Mab","D",,01/14/2017,"Prx",4,"D","","",8.00,"MCL","Md 20000",20.00,36.890,"fst","M","3","",10,24.40,49.60,116.20,130.00,-1.00,-1.00,144.00,"Annika Gold","I'm Sleeping In","Hallucination",121,121,121,0.50,5.00,1.25,0,"","B",2,6,4.70,7,4.10,10,10.30,0,0.00,9,21.50,8,22.25,"","",0,17,121,0,"Fractious, off slow","",69.50,10,"","","","B","","","Rosario M A","Riviezzo Ralph R","",45,30,"","","","H",20.00,"",0,0,0,0,0.00,"","",,,,,,24.45,49.61,116.20,130.19,-1.00,-1.00,144.10
"PRX",02/07/2017,1,"Postino's Champion","D",,01/16/2017,"Prx",5,"D","","",5.50,"MCL","Md 20000",20.00,28.250,"fst","M","3","",10,22.40,46.40,59.40,-1.00,-1.00,-1.00,106.80,"Benevolent Gift","Bustin Gold","Postino's Champion",121,116,121,4.75,0.25,2.75,0,"","F",6,8,0.00,9,10.10,8,11.60,0,0.00,5,10.50,3,5.00,"","",0,38,121,0,"Closed, too late","",19.00,7,"","L","","B","F","","Rosado R J","Farro Patricia","",21,73,"","","","H",20.00,"",0,0,0,0,0.00,"","",,,,,,22.46,46.43,59.57,-1.00,-1.00,-1.00,106.82
"PRX",02/07/2017,1,"Postino's Champion","D",,10/05/2016,"Med",6,"T","","",8.00,"MCL","Md 20000",20.00,15.600,"fm","M","2","",9,24.00,49.20,114.00,-1.00,-1.00,-1.00,139.60,"Dangerous Woman","Glace","Royal Chapeau",120,120,118,2.75,0.10,1.75,0,"","H",8,6,5.70,5,3.10,4,4.10,0,0.00,3,4.50,5,5.85,"","",0,34,120,0,"Bumped start, 4w, 3w","",51.80,8,"","L","","B","","","Garcia W A","Einhorn Skip","",14,72,"","","","H",18.00,"",0,0,0,0,0.00,"","2016",112,7,14,15,0.06,24.04,49.37,114.12,-1.00,-1.00,-1.00,139.72
"PRX",02/07/2017,1,"Postino's Champion","D",,09/17/2016,"Mth",1,"D","","",5.50,"MCL","Md 25000",25.00,16.600,"fst","M","2","",5,22.40,46.00,59.40,-1.00,-1.00,-1.00,106.40,"She'satoughbroad","Natalie's Angel","Magic Hatter",120,120,118,7.50,1.25,4.50,0,"","B",2,4,0.00,3,8.50,4,9.50,0,0.00,4,9.00,4,13.25,"","",0,11,120,0,"Inside, no factor","",17.80,5,"","L","","","","","Cotto P L Jr","Einhorn Skip","",13,68,"","","","H",20.00,"",0,0,0,0,0.00,"","",,,,,,22.54,46.18,59.57,-1.00,-1.00,-1.00,106.50
"PRX",02/07/2017,1,"Postino's Champion","D",,08/28/2016,"Mth",6,"D","","",5.50,"MSW","Md Sp Wt 44k",0.00,44.407,"fst","M","2","S",11,22.40,46.00,59.00,-1.00,-1.00,-1.00,105.80,"Valedictorian","Mission Good Karma","Beatubyachubinose",119,119,112,0.75,3.00,0.25,0,"","I",9,9,0.00,11,14.20,11,13.80,0,0.00,7,13.30,8,14.75,"","",7,2,119,0,"Bumped start","",30.90,8,"","","","","","","Cotto P L Jr","Einhorn Skip","E",8,69,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,22.54,46.09,59.05,-1.00,-1.00,-1.00,105.98
"PRX",02/07/2017,1,"Congaree Rose","D",,01/16/2017,"Prx",5,"D","","",5.50,"MCL","Md 20000",20.00,28.250,"fst","M","3","",10,22.40,46.40,59.40,-1.00,-1.00,-1.00,106.80,"Benevolent Gift","Bustin Gold","Postino's Champion",121,116,121,4.75,0.25,2.75,0,"","H",8,7,0.00,6,5.60,5,7.50,0,0.00,6,10.60,5,8.50,"","",0,31,121,0,"Lacked a solid rally","",20.00,8,"","L","","","F","","Rosario M A","Serey Juan","",21,69,"","","","H",20.00,"",0,0,0,0,0.00,"","",,,,,,22.46,46.43,59.57,-1.00,-1.00,-1.00,106.82
"PRX",02/07/2017,1,"Congaree Rose","D",,12/20/2016,"Prx",5,"D","","",6.00,"MCL","Md 40000",40.00,53.800,"gd","M","2","",9,21.40,44.60,58.00,-1.00,-1.00,-1.00,110.80,"Saint Main Event","Tin N Lint","Corrine Strong",121,121,121,0.25,1.75,0.50,0,"","G",7,6,0.00,9,9.10,9,13.10,0,0.00,9,12.60,9,9.75,"","",0,28,116,7,"Unruly prior to start","",28.00,9,"","","","","F","","Perez J M","Serey Juan","",10,74,"","","","H",40.00,"",0,0,0,0,0.00,"","",,,,,,21.52,44.62,58.10,-1.00,-1.00,-1.00,110.91
"PRX",02/07/2017,1,"Safely Touch","D",,01/14/2017,"Prx",2,"D","","",6.50,"MCL","Md 40000",40.00,46.210,"fst","M","3","",10,22.80,47.40,114.60,-1.00,-1.00,-1.00,121.80,"Corrine Strong","Friesani","Roni's Laughing",121,121,121,1.75,0.50,5.25,0,"","C",3,4,0.00,2,0.50,3,2.00,0,0.00,10,20.20,10,30.05,"","",0,998,121,0,"Bump, prompt, tired","",36.10,9,"","L","","B","","","Mangalee N","Riviezzo Ralph R","",25,36,"","","","H",40.00,"",0,0,0,0,0.00,"","",,,,,,22.98,47.56,114.65,-1.00,-1.00,-1.00,121.93
"PRX",02/07/2017,1,"Safely Touch","D",,12/20/2016,"Prx",6,"D","","",6.00,"MCL","Md 40000",40.00,42.760,"gd","M","2","",9,22.00,45.60,58.60,-1.00,-1.00,-1.00,111.60,"Kissesrgettnlouder","Luxicharm","Roni's Laughing",121,121,121,0.05,2.75,1.50,0,"","C",3,3,0.00,4,1.60,7,3.60,0,0.00,9,7.80,9,12.90,"","",0,10,116,5,"Spd for 1/2","",16.60,6,"","L","","","F","","Gonzalez S","Riviezzo Ralph R","",10,67,"","","","H",40.00,"",0,0,0,0,0.00,"","",,,,,,22.00,45.72,58.78,-1.00,-1.00,-1.00,111.71
"PRX",02/07/2017,1,"Safely Touch","D",,10/15/2016,"Del",6,"D","","",6.00,"MSW","Md Sp Wt 34k",0.00,34.375,"fst","M","2","",8,22.60,46.60,59.80,-1.00,-1.00,-1.00,111.80,"Rose Tree","Rockin","Silber Zug",119,119,119,9.25,0.05,0.75,0,"","A",1,3,0.00,1,0.50,8,5.70,0,0.00,8,20.10,8,39.30,"","",0,998,112,7,"Used in early duel","",38.10,8,"","L","/","","","","Kay W R","Panton Junior N","",19,42,"","","","H",0.00,"",0,0,0,0,0.00,"","2016",33,0,1,2,0.00,22.74,46.75,59.92,-1.00,-1.00,-1.00,111.82
"PRX",02/07/2017,1,"Little Sister","D",,01/28/2017,"Lrl",5,"D","","",6.00,"MCL","Md 20000",25.00,29.592,"fst","M","3","",9,23.40,48.60,101.00,-1.00,-1.00,-1.00,113.80,"My Girl Tricksy","She Be Fierce","Honey Bun",122,122,122,2.75,0.75,0.75,0,"","A",1,9,0.00,6,1.90,8,6.30,0,0.00,9,10.20,9,12.55,"","",0,9,118,0,"Stmbld start,chckd 3/8","",13.10,6,"","L","/","B","F","","Karamanos H A","Serey Mario Jr","",19,61,"","","","H",20.00,"",0,0,0,0,0.00,"","",,,,,,23.46,48.60,101.17,-1.00,-1.00,-1.00,113.94
"PRX",02/07/2017,1,"Little Sister","D",,01/14/2017,"Prx",4,"D","","",8.00,"MCL","Md 20000",20.00,36.890,"fst","M","3","",10,24.40,49.60,116.20,130.00,-1.00,-1.00,144.00,"Annika Gold","I'm Sleeping In","Hallucination",121,121,121,0.50,5.00,1.25,0,"","H",8,3,2.10,4,2.00,8,10.10,0,0.00,10,31.50,10,38.25,"","",0,998,121,0,"Outside, tired badly","",11.80,6,"","L","","B","F","","Mangalee N","Serey Mario Jr","",45,14,"","","","H",20.00,"",0,0,0,0,0.00,"","",,,,,,24.45,49.61,116.20,130.19,-1.00,-1.00,144.10
"PRX",02/07/2017,1,"Little Sister","D",,12/20/2016,"Prx",6,"D","","",6.00,"MCL","Md 40000",40.00,42.760,"gd","M","2","",9,22.00,45.60,58.60,-1.00,-1.00,-1.00,111.60,"Kissesrgettnlouder","Luxicharm","Roni's Laughing",121,121,121,0.05,2.75,1.50,0,"","B",2,4,0.00,2,0.50,3,2.00,0,0.00,4,1.10,8,9.65,"","",0,17,121,0,"Stalked, tired","",16.30,5,"","L","","B","","","Bisono J","Serey Mario Jr","",10,70,"","","","H",40.00,"",0,0,0,0,0.00,"","",,,,,,22.00,45.72,58.78,-1.00,-1.00,-1.00,111.71
"PRX",02/07/2017,1,"Little Sister","D",,12/10/2016,"Prx",1,"D","","",8.00,"MCL","Md 40000",40.00,42.260,"fst","M","2","",7,24.20,49.20,115.20,129.20,-1.00,-1.00,143.20,"Flosy's Birthday","Unlimited Resource","Rhinestone Cowgirl",121,121,121,2.00,2.25,7.00,0,"","C",3,7,99.99,7,99.99,7,99.99,0,0.00,7,99.99,7,99.99,"","",0,0,116,5,"Declared no contest","Non-wagering event",0.00,7,"","L","","B","F","","Gonzalez S","Serey Mario Jr","",0,0,"","","","H",40.00,"",0,0,0,0,0.00,"","",,,,,,24.39,49.26,115.25,129.20,-1.00,-1.00,143.28
"PRX",02/07/2017,1,"Little Sister","D",,11/19/2016,"Prx",6,"D","","",6.00,"MCL","Md 40000",40.00,50.600,"fst","M","2","",9,22.60,47.20,100.60,-1.00,-1.00,-1.00,114.40,"La Camedor","Crazy Daisy","Tiz Da Biz",121,121,121,1.25,5.00,1.50,0,"","B",2,7,0.00,4,1.70,4,1.60,0,0.00,5,4.10,5,8.50,"","",0,27,116,5,"Inside, gave way","",12.50,6,"","L","","","F","","Gonzalez S","Serey Mario Jr","",28,57,"","","","H",40.00,"",0,0,0,0,0.00,"","",,,,,,22.77,47.29,100.72,-1.00,-1.00,-1.00,114.45
"PRX",02/07/2017,1,"Little Sister","D",,11/08/2016,"Prx",3,"D","","",6.00,"MCL","Md c-20000 200",20.00,34.980,"fst","M","2","",11,22.60,47.20,59.60,-1.00,-1.00,-1.00,112.60,"True Sweetheart","Tiz All Behind Us","Bossy B",114,121,121,10.00,11.00,0.05,0,"","K",11,1,0.00,4,1.60,5,4.50,0,0.00,5,15.50,9,23.85,"","",0,17,121,0,"Close wide, gave way","",3.80,2,"C","L","","","F","","Flores J L","Reese Cynthia G","",23,51,"","Gilbert Jane","","H",20.00,"2016",28,2,3,6,0.07,"","",,,,,,22.60,47.27,59.75,-1.00,-1.00,-1.00,112.76
"PRX",02/07/2017,1,"Little Sister","D",,10/18/2016,"Prx",3,"D","","",6.00,"MCL","Md 20000",20.00,41.800,"fst","M","2","",11,22.80,47.00,100.40,-1.00,-1.00,-1.00,114.00,"Midnight Skies","Soso","Lost Shakerof Salt",122,122,122,1.75,3.25,0.50,0,"","C",3,4,0.00,1,0.10,2,0.10,0,0.00,3,4.10,6,8.00,"","",0,25,122,0,"Stumbled, used up","",10.80,5,"","L","","","","","Flores J L","Reese Cynthia G","",22,60,"","","","H",20.00,"",0,0,0,0,0.00,"","",,,,,,22.88,47.11,100.50,-1.00,-1.00,-1.00,114.05
